2023-05-24 00:05:360 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:139 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:549 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:293 INFO  ViewSystemUsersPage :65 - Clicking on Admin: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-05-24 00:05:364 INFO  ViewSystemUsersPage :70 - Verifying System User Text: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-05-24 00:05:95 INFO  ViewSystemUsersPage :75 - Clicking on Add button: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2023-05-24 00:05:255 INFO  ViewSystemUsersPage :80 - Verifying User added text: Add User
2023-05-24 00:05:847 INFO  ViewSystemUsersPage :85 - Selecting Admin from Admin dropdown: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Admin')]'
2023-05-24 00:05:738 INFO  ViewSystemUsersPage :93 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Goutam  Ganesh')]'
2023-05-24 00:05:989 INFO  ViewSystemUsersPage :100 - Entering User: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[4]/div[1]/div[2]/input[1]]
2023-05-24 00:05:903 INFO  ViewSystemUsersPage :105 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2023-05-24 00:05:463 INFO  ViewSystemUsersPage :121 - Entering Password: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-05-24 00:05:709 INFO  ViewSystemUsersPage :126 - Entering Confirm Password: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[2]/div[1]/div[2]/input[1]]
2023-05-24 00:05:20 INFO  ViewSystemUsersPage :131 - Clicking on Save: [[ChromeDriver: chrome on WINDOWS (1ee2dcb4f289ccf8ce874a9d1359fc81)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-05-24 00:05:82 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:202 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:561 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (44fcd0420f3b76b526c585673946e227)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:739 INFO  ViewSystemUsersPage :65 - Clicking on Admin: [[ChromeDriver: chrome on WINDOWS (44fcd0420f3b76b526c585673946e227)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-05-24 00:05:62 INFO  ViewSystemUsersPage :70 - Verifying System User Text: [[ChromeDriver: chrome on WINDOWS (44fcd0420f3b76b526c585673946e227)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-05-24 00:05:168 INFO  AddUserPage :62 - Entering User Name: [[ChromeDriver: chrome on WINDOWS (44fcd0420f3b76b526c585673946e227)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-05-24 00:05:344 INFO  AddUserPage :67 - Selecting Role: [[ChromeDriver: chrome on WINDOWS (44fcd0420f3b76b526c585673946e227)] -> xpath: //div[@class='oxd-grid-4 orangehrm-full-width-grid']/div[2]/div/div[2]/div/div/div[2]/i]
2023-05-24 00:05:96 INFO  AddUserPage :74 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2023-05-24 00:05:463 INFO  AddUserPage :88 - Clicking on search button [[ChromeDriver: chrome on WINDOWS (44fcd0420f3b76b526c585673946e227)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-05-24 00:05:891 INFO  AddUserPage :93 - Verifying Result Text: [[ChromeDriver: chrome on WINDOWS (44fcd0420f3b76b526c585673946e227)] -> xpath: //div[@class='orangehrm-paper-container']/div[2]/div[1]/span[1]]
2023-05-24 00:05:836 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:725 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:58 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (75238c02fa057a1e58b224f0c446786c)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:34 INFO  ViewSystemUsersPage :65 - Clicking on Admin: [[ChromeDriver: chrome on WINDOWS (75238c02fa057a1e58b224f0c446786c)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-05-24 00:05:829 INFO  ViewSystemUsersPage :70 - Verifying System User Text: [[ChromeDriver: chrome on WINDOWS (75238c02fa057a1e58b224f0c446786c)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-05-24 00:05:464 INFO  ViewSystemUsersPage :75 - Clicking on Add button: [[ChromeDriver: chrome on WINDOWS (75238c02fa057a1e58b224f0c446786c)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2023-05-24 00:05:481 INFO  ViewSystemUsersPage :80 - Verifying User added text: Add User
2023-05-24 00:05:81 INFO  ViewSystemUsersPage :85 - Selecting Admin from Admin dropdown: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Admin')]'
2023-05-24 00:05:282 INFO  ViewSystemUsersPage :93 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Goutam  Ganesh')]'
